id,claim,source,locator,support,confidence,caveat
S-01,"Softmax is invariant to a constant shift applied to every logit; only relative logit values matter.","Mathematical identity","Verified numerically by scripts/check_softmax_reference.py","direct","high","Purely mathematical; not attributed to a video source. Checked by script, not by citation."
S-02,"Softmax uses the same probability mapping as multinomial/conditional logit; the language model as a whole is not a multinomial-logit model.","Mathematical identity / standard discrete-choice definition","Functional-form comparison (PR1)","inference","high","Comparison of functional form only; not a claim about model structure, estimation, or interpretability of the network."
S-03,"For fixed logits, the algebraic odds-ratio property associated with IIA survives; it carries no behavioral random-utility, structural, or welfare interpretation here.","Mathematical identity","Algebraic derivation (PR7)","inference","high","Algebraic property only. Explicitly not a random-utility or structural claim."
S-04,"Temperature rescales logits before softmax normalization; as T approaches 0 the distribution converges to argmax when there is a unique highest logit; as T approaches infinity the distribution approaches uniform.","3Blue1Brown, ""Transformers, the tech behind LLMs""","Video, ~22:22, ""Softmax with temperature""","direct","high","The tie case for T to 0 is stated on this site; not necessarily discussed at this timestamp in the video."
S-05,"At each token position the model defines a categorical probability distribution through softmax; training maximizes the conditional likelihood of the observed next tokens across the corpus, equivalently minimizing negative log likelihood (cross-entropy).","Andrej Karpathy, ""Deep Dive into LLMs like ChatGPT""","Video, ~20:11, ""neural network internals""","direct","high","The video demonstrates this via a concrete walkthrough; the maximum-likelihood framing in econometric language is this course's own standard restatement."
S-06,"This is maximum-likelihood training, but it is not a conventional econometric exercise aimed at identifying interpretable structural parameters or reporting classical standard errors. This does not imply uncertainty measures are mathematically impossible.","None (editorial/pedagogical correction)","Precision rule PR2, adopted at external review","inference","high","An explicit correction to prevent over-claiming an econometric interpretation of the training objective."
S-07,"Sampling produces different continuations from the same prompt without changing model parameters, shown inside a real autoregressive generation loop.","Andrej Karpathy, ""Deep Dive into LLMs like ChatGPT""","Video, ~26:01, ""inference""","direct","high",""
S-08,"The training objective rewards plausible continuation rather than independent verification of truth; parameters encode statistical regularities rather than a directly queryable source record; without grounding, a plausible continuation can be unsupported or false; deterministic decoding can also produce unsupported claims.","Andrej Karpathy, ""Deep Dive into LLMs like ChatGPT"" (general hallucination discussion)","Video, ~1:20:32, ""hallucinations, tool use, knowledge/memory""","inference","medium-high","Our own synthesized explanation (correction CC1, adopted at external review), grounded in the video's general hallucination discussion, not a verbatim claim from it. This timestamp has not been independently re-verified in this slice (tracked as gap G1 in the implementation plan) and should be reverified before any Stage 2 publication."
S-09,"In this course, 'logit' means the network's raw, pre-softmax real-valued score. This is not the same object as the statistics/econometrics logit function, logit(p) = log(p/(1-p)), the log-odds transform of an already-computed probability. The relationship is exact only for differences: under softmax with temperature T, log(p_i/p_j) = (z_i - z_j)/T, and for exactly two candidates logit(p_1) = (z_1 - z_2)/T, which reduces to z_1 - z_2 only at T = 1. An individual multiclass score z_i is not logit(p_i).","Mathematical definition","Definitional comparison plus the algebraic identity log(p_i/p_j) = (z_i - z_j)/T, which follows directly from the softmax formula; verified numerically at T=1 for the module's five-token example (log(p_1/p_2) = 1.0 = z_1 - z_2).","direct","high","Terminological clarification; both definitions are independently verifiable standard usage, not attributed to one external source. Corrected 2026-09-15: an earlier wording said the two 'share a name and a family resemblance, not an object', which understated the exact two-candidate relationship."
S-10,"Softmax is named by contrast with the hard argmax (picking the single top-scoring candidate and giving it everything): softmax returns a whole probability distribution rather than the maximum value or its index, is smooth and differentiable everywhere, and approaches the argmax's one-hot choice in the T-to-0 limit derived in this module.","Mathematical identity / standard ML terminology","Naming convention; verifiable directly from the T-to-0 limit already derived in this module's temperature section.","inference","high","Naming convention, not a citation to one paper or video. Corrected 2026-09-15: earlier wording said 'max/argmax'; softmax is the smooth counterpart of the one-hot argmax indicator, not of the maximum value (the smooth counterpart of the maximum value is log-sum-exp)."
